Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe Coating,Internal Pressure (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
16.0,0.375,X-42,Rough Steel,1500,5,5,30,0,110,Perpendicular,14.67,573.67,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,0,120,Parallel,12.0,469.37,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,0,120,Perpendicular,16.0,625.82,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,0,125,Parallel,12.5,488.92,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,0,125,Perpendicular,16.67,651.9,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,0,130,Parallel,13.0,508.48,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,0,130,Perpendicular,17.33,677.98,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,0,140,Parallel,14.0,547.6,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,0,140,Perpendicular,18.67,730.13,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,50,110,Parallel,11.0,430.25,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,50,110,Perpendicular,14.67,573.67,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,50,120,Parallel,12.0,469.37,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,50,120,Perpendicular,16.0,625.82,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,50,125,Parallel,12.5,488.92,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,50,125,Perpendicular,16.67,651.9,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,50,130,Parallel,13.0,508.48,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,50,130,Perpendicular,17.33,677.98,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,50,140,Parallel,14.0,547.6,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,50,140,Perpendicular,18.67,730.13,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,100,110,Parallel,11.0,430.25,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,100,110,Perpendicular,14.67,573.67,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,100,120,Parallel,12.0,469.37,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,100,120,Perpendicular,16.0,625.82,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,100,125,Parallel,12.5,488.92,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,100,125,Perpendicular,16.67,651.9,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,100,130,Parallel,13.0,508.48,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,100,130,Perpendicular,17.33,677.98,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,100,140,Parallel,14.0,547.6,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,100,140,Perpendicular,18.67,730.13,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,150,110,Parallel,11.0,430.25,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,150,110,Perpendicular,14.67,573.67,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,150,120,Parallel,12.0,469.37,0,0.0,Exceeds
16.0,0.375,X-42,Rough Steel,1500,5,5,30,150,120,Perpendicular,16.0,625.82,0,0.0,Exceeds
