Soil Name,Soil Type,Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,100,Rough Steel,1500,35.0,100.0,120.0,Parallel,746.486434,1980.116765,6680.0,337.353843,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,10,Rough Steel,1500,35.0,100.0,120.0,Parallel,937.103916,248.574534,6680.0,268.732275,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,11,Rough Steel,1500,35.0,100.0,120.0,Parallel,937.103916,273.431987,6680.0,268.732275,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,12,Rough Steel,1500,35.0,100.0,120.0,Parallel,937.103916,298.289441,6680.0,268.732275,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,13,Rough Steel,1500,35.0,100.0,120.0,Parallel,937.103916,323.146894,6680.0,268.732275,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,14,Rough Steel,1500,35.0,100.0,120.0,Parallel,937.103916,348.004348,6680.0,268.732275,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,15,Rough Steel,1500,35.0,100.0,120.0,Parallel,937.103916,372.861801,6680.0,268.732275,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,16,Rough Steel,1500,35.0,100.0,120.0,Parallel,937.103916,397.719254,6680.0,268.732275,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,17,Rough Steel,1500,35.0,100.0,120.0,Parallel,937.103916,422.576708,6680.0,268.732275,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,18,Rough Steel,1500,35.0,100.0,120.0,Parallel,937.103916,447.434161,6680.0,268.732275,Does Not Exceed
