Soil Name,Soil Type,Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
Stiff Lean Clay,CL,16,0.375,X-42,1,77,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2177.64,12812.36,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,78,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2205.92,12784.08,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,79,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2234.2,12755.8,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,80,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2262.49,12727.51,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,81,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2290.77,12699.23,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,82,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2319.05,12670.95,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,83,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2347.33,12642.67,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,84,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2375.61,12614.39,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,85,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2403.89,12586.11,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,86,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2432.17,12557.83,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,87,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2460.45,12529.55,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,88,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2488.73,12501.27,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,89,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2517.01,12472.99,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,90,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2545.3,12444.7,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,91,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2573.58,12416.42,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,92,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2601.86,12388.14,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,93,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2630.14,12359.86,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,94,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2658.42,12331.58,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,95,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2686.7,12303.3,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,96,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2714.98,12275.02,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,97,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2743.26,12246.74,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,98,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2771.54,12218.46,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,99,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2799.83,12190.17,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,1,100,Rough Steel,1500,30.0,100.0,120.0,Parallel,520.59,2828.11,12161.89,530.04,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,10,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,440.47,14549.53,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,11,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,484.51,14505.49,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,12,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,528.56,14461.44,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,13,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,572.61,14417.39,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,14,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,616.65,14373.35,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,15,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,660.7,14329.3,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,16,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,704.75,14285.25,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,17,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,748.79,14241.21,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,18,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,792.84,14197.16,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,19,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,836.88,14153.12,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,20,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,880.93,14109.07,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,21,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,924.98,14065.02,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,22,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,969.02,14020.98,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,23,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1013.07,13976.93,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,24,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1057.12,13932.88,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,25,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1101.16,13888.84,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,26,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1145.21,13844.79,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,27,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1189.26,13800.74,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,28,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1233.3,13756.7,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,29,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1277.35,13712.65,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,30,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1321.4,13668.6,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,31,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1365.44,13624.56,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,32,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1409.49,13580.51,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,33,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1453.54,13536.46,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,34,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1497.58,13492.42,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,35,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1541.63,13448.37,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,36,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1585.68,13404.32,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,37,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1629.72,13360.28,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,38,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1673.77,13316.23,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,39,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1717.82,13272.18,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,40,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1761.86,13228.14,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,41,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1805.91,13184.09,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,42,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1849.96,13140.04,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,43,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1894.0,13096.0,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,44,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1938.05,13051.95,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,45,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,1982.1,13007.9,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,46,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2026.14,12963.86,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,47,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2070.19,12919.81,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,48,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2114.24,12875.76,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,49,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2158.28,12831.72,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,50,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2202.33,12787.67,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,51,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2246.38,12743.62,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,52,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2290.42,12699.58,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,53,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2334.47,12655.53,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,54,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2378.52,12611.48,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,55,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2422.56,12567.44,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,56,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2466.61,12523.39,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,57,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2510.65,12479.35,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,58,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2554.7,12435.3,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,59,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2598.75,12391.25,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,60,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2642.79,12347.21,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,61,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2686.84,12303.16,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,62,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2730.89,12259.11,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,63,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2774.93,12215.07,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,64,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2818.98,12171.02,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,65,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2863.03,12126.97,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,66,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2907.07,12082.93,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,67,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2951.12,12038.88,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,68,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,2995.17,11994.83,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,69,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,3039.21,11950.79,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,70,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,3083.26,11906.74,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,71,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,3127.31,11862.69,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,72,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,3171.35,11818.65,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,73,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,3215.4,11774.6,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,74,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,3259.45,11730.55,340.32,Does Not Exceed
Stiff Lean Clay,CL,16,0.375,X-42,2,75,Rough Steel,1500,30.0,100.0,120.0,Parallel,810.8,3303.49,11686.51,340.32,Does Not Exceed
