Soil Name,Soil Type,Pipe OD (in),Pipe wt (in),Pipe SMYS (psi),Pipe DOC (ft),Length of Pipe in PGD (ft),Pipe Coating,Internal Pressure (psi),Soil Friction Angle (φ degrees),"Soil Cohesion (c, psf)","Soil Effective Unit Weight (γ', psf)",PGD Path (perpendicular/parallel to pipe),Longitudinal Force (lb/ft),Axial Stress (psi),Remaining Allowable Stress (psi),Allowable Pipe Length in PGD (ft),Exceeds Allowable
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,52,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1645.07,13344.93,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,53,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1676.7,13313.3,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,54,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1708.34,13281.66,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,55,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1739.97,13250.03,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,56,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1771.61,13218.39,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,57,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1803.25,13186.75,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,58,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1834.88,13155.12,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,59,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1866.52,13123.48,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,60,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1898.15,13091.85,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,61,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1929.79,13060.21,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,62,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1961.43,13028.57,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,63,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,1993.06,12996.94,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,64,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2024.7,12965.3,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,65,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2056.33,12933.67,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,66,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2087.97,12902.03,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,67,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2119.6,12870.4,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,68,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2151.24,12838.76,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,69,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2182.88,12807.12,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,70,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2214.51,12775.49,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,71,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2246.15,12743.85,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,72,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2277.78,12712.22,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,73,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2309.42,12680.58,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,74,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2341.06,12648.94,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,75,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2372.69,12617.31,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,76,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2404.33,12585.67,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,77,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2435.96,12554.04,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,78,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2467.6,12522.4,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,79,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2499.24,12490.76,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,80,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2530.87,12459.13,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,81,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2562.51,12427.49,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,82,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2594.14,12395.86,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,83,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2625.78,12364.22,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,84,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2657.41,12332.59,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,85,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2689.05,12300.95,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,86,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2720.69,12269.31,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,87,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2752.32,12237.68,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,88,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2783.96,12206.04,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,89,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2815.59,12174.41,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,90,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2847.23,12142.77,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,91,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2878.87,12111.13,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,92,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2910.5,12079.5,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,93,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2942.14,12047.86,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,94,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,2973.77,12016.23,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,95,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,3005.41,11984.59,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,96,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,3037.05,11952.95,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,97,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,3068.68,11921.32,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,98,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,3100.32,11889.68,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,99,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,3131.95,11858.05,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,1,100,Rough Steel,1500,35.0,100.0,120.0,Parallel,582.35,3163.59,11826.41,473.83,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,10,Rough Steel,1500,35.0,100.0,120.0,Parallel,934.31,507.56,14482.44,295.33,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,11,Rough Steel,1500,35.0,100.0,120.0,Parallel,934.31,558.32,14431.68,295.33,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,12,Rough Steel,1500,35.0,100.0,120.0,Parallel,934.31,609.07,14380.93,295.33,Does Not Exceed
Dense Silty Sand/Clayey Sand,SM/SC,16,0.375,X-42,2,13,Rough Steel,1500,35.0,100.0,120.0,Parallel,934.31,659.83,14330.17,295.33,Does Not Exceed
